7zip 25.01-5.fc44
aajohan-comfortaa-fonts 3.105-0.9.20210729git2a87ac6.fc44
aardvark-dns 1.17.0-3.fc44
abattis-cantarell-fonts 0.301-17.fc44
abattis-cantarell-vf-fonts 0.301-17.fc44
abrt 2.17.8-3.fc44
abrt-addon-ccpp 2.17.8-3.fc44
abrt-addon-kerneloops 2.17.8-3.fc44
abrt-addon-pstoreoops 2.17.8-3.fc44
abrt-addon-vmcore 2.17.8-3.fc44
abrt-addon-xorg 2.17.8-3.fc44
abrt-cli 2.17.8-3.fc44
abrt-dbus 2.17.8-3.fc44
abrt-desktop 2.17.8-3.fc44
abrt-gui 2.17.8-3.fc44
abrt-gui-libs 2.17.8-3.fc44
abrt-libs 2.17.8-3.fc44
abrt-plugin-bodhi 2.17.8-3.fc44
abrt-tui 2.17.8-3.fc44
abseil-cpp 20260107.1-1.fc44
accounts-qml-module-qt6 0.7^20231216.05e79eb-8.fc44
accountsservice 23.13.9-16.fc44
accountsservice-libs 23.13.9-16.fc44
acl 2.3.2-6.fc44
adobe-mappings-cmap 20231115-5.fc44
adobe-mappings-cmap-deprecated 20231115-5.fc44
adobe-mappings-pdf 20190401-12.fc44
adwaita-cursor-theme 50.0-1.fc44
adwaita-icon-theme 50.0-1.fc44
adwaita-icon-theme-legacy 46.2-7.fc44
adwaita-mono-fonts 50.0-1.fc44
adwaita-sans-fonts 50.0-1.fc44
aha 0.5.1-16.fc44
akonadi-calendar 25.12.3-1.fc44
akonadi-contacts 25.12.3-1.fc44
akonadi-import-wizard 25.12.3-1.fc44
akonadi-mime 25.12.3-1.fc44
akonadi-search 25.12.3-1.fc44
akonadi-server 25.12.3-1.fc44
akonadi-server-mysql 25.12.3-1.fc44
akregator 25.12.3-1.fc44
akregator-libs 25.12.3-1.fc44
alsa-lib 1.2.15.3-3.fc44
alsa-sof-firmware 2025.12.2-1.fc44
alsa-ucm 1.2.15.3-3.fc44
alsa-utils 1.2.15.2-3.fc44
alternatives 1.33-5.fc44
amd-gpu-firmware 20260309-1.fc44
amd-ucode-firmware 20260309-1.fc44
anaconda-core 44.30-2.fc44
anaconda-install-env-deps 44.30-2.fc44
anaconda-live 44.30-2.fc44
anaconda-tui 44.30-2.fc44
anaconda-webui 68-1.fc44
anthy-unicode 1.0.0.20260213-1.fc44
antiword 0.37-44.fc44
appstream 1.1.0-3.fc44
appstream-data 44-4.fc44
appstream-qt 1.1.0-3.fc44
aribb24 1.0.3^20160216git5e9be27-5.fc44
ark 25.12.3-1.fc44
ark-libs 25.12.3-1.fc44
assimp 6.0.4-1.fc44
at 3.2.5-21.fc44
atheros-firmware 20260309-1.fc44
atk 2.60.0-1.fc44
atkmm 2.28.4-7.fc44
at-spi2-atk 2.60.0-1.fc44
at-spi2-core 2.60.0-1.fc44
attr 2.5.2-8.fc44
audiocd-kio 25.12.3-1.fc44
audiocd-kio-doc 25.12.3-1.fc44
audit 4.1.4-1.fc44
audit-libs 4.1.4-1.fc44
audit-rules 4.1.4-1.fc44
augeas-libs 1.14.2-0.9.20260120gitf4135e3.fc44
aurorae 6.6.4-1.fc44
authselect 1.7.1-1.fc44
authselect-libs 1.7.1-1.fc44
autocorr-en 26.2.1.2-2.fc44
avahi 0.9~rc2-8.fc44
avahi-glib 0.9~rc2-8.fc44
avahi-gobject 0.9~rc2-8.fc44
avahi-libs 0.9~rc2-8.fc44
avahi-tools 0.9~rc2-8.fc44
b43-fwcutter 019-41.fc44
b43-openfwwf 5.2-48.fc44
baloo-widgets 25.12.3-1.fc44
bash 5.3.9-3.fc44
bash-color-prompt 0.7.1-3.fc44
bash-completion 2.17-2.fc44
bc 1.08.2-4.fc44
bind-libs 9.18.47-1.fc44
bind-utils 9.18.47-1.fc44
binutils 2.46-1.fc44
blivet-data 3.13.2-2.fc44
bluedevil 6.6.4-1.fc44
bluez 5.86-4.fc44
bluez-cups 5.86-4.fc44
bluez-libs 5.86-4.fc44
bluez-obexd 5.86-4.fc44
bolt 0.9.10-4.fc44
boost-atomic 1.90.0-7.fc44
boost-charconv 1.90.0-7.fc44
boost-chrono 1.90.0-7.fc44
boost-container 1.90.0-7.fc44
boost-date-time 1.90.0-7.fc44
boost-filesystem 1.90.0-7.fc44
boost-iostreams 1.90.0-7.fc44
boost-locale 1.90.0-7.fc44
boost-program-options 1.90.0-7.fc44
boost-random 1.90.0-7.fc44
boost-regex 1.90.0-7.fc44
boost-thread 1.90.0-7.fc44
Box2D 2.4.2-7.fc44
braille-printer-app 2.0~b0^386eea385f-11.fc44
brcmfmac-firmware 20260309-1.fc44
breeze-cursor-theme 6.6.4-1.fc44
breeze-gtk-common 6.6.4-1.fc44
breeze-gtk-gtk3 6.6.4-1.fc44
breeze-gtk-gtk4 6.6.4-1.fc44
breeze-icon-theme 6.25.0-1.fc44
breeze-icon-theme-fedora 6.25.0-1.fc44
brlapi 0.8.7-8.fc44
brltty 6.8-8.fc44
btrfs-progs 6.19.1-1.fc44
bubblewrap 0.11.0-4.fc44
bzip2 1.0.8-23.fc44
bzip2-libs 1.0.8-23.fc44
ca-certificates 2025.2.80_v9.0.304-6.fc44
cairo 1.18.4-6.fc44
cairo-gobject 1.18.4-6.fc44
cairomm 1.14.5-15.fc44
calendarsupport 25.12.3-1.fc44
capstone 5.0.6-4.fc44
c-ares 1.34.6-3.fc44
catatonit 0.2.1-5.fc44
catdoc 0.95-30.fc44
catdoc-wordview 0.95-30.fc44
cdparanoia-libs 10.2-50.fc44
cfitsio 4.6.3-2.fc44
checkpolicy 3.10-1.fc44
chrony 4.8-5.fc44
cifs-utils 7.5-1.fc44
cifs-utils-info 7.5-1.fc44
cirrus-audio-firmware 20260309-1.fc44
cjson 1.7.18-5.fc44
cldr-emoji-annotation 48.2-1.fc44
cldr-emoji-annotation-dtd 48.2-1.fc44
clevis 21-14.fc44
clevis-luks 21-14.fc44
clevis-pin-tpm2 0.5.4-1.fc44
clinfo 3.0.25.02.14-3.fc44
clucene-contribs-lib 2.3.3.4-55.20130812.e8e3d20git.fc44
clucene-core 2.3.3.4-55.20130812.e8e3d20git.fc44
cmake-filesystem 4.3.0-1.fc44
cmark-lib 0.31.1-3.fc44
cockpit-bridge 360.1-1.fc44
cockpit-networkmanager 360.1-1.fc44
cockpit-storaged 360.1-1.fc44
cockpit-system 360.1-1.fc44
cockpit-ws 360.1-1.fc44
cockpit-ws-selinux 360.1-1.fc44
codec2 1.2.0-9.fc44
colord 1.4.8-4.fc44
colord-kde 25.12.3-1.fc44
colord-libs 1.4.8-4.fc44
color-filesystem 1-38.fc44
composefs 1.0.8-5.fc44
composefs-libs 1.0.8-5.fc44
compsize 1.5^git20250123.d79eacf-15.fc44
conmon 2.2.1-2.fc44
containers-common 0.67.0-1.fc44
containers-common-extra 0.67.0-1.fc44
container-selinux 2.247.0-1.fc44
coreutils 9.10-3.fc44
coreutils-common 9.10-3.fc44
corosynclib 3.1.10-4.fc44
cpio 2.15-9.fc44
cpp 16.0.1-0.10.fc44
cracklib 2.9.11-10.fc44
